epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,22585.3,1.4283,0.73955,0.98684,0.86604,0.71919,0.81806,0.47598,1.32881,0.63703,0.99227,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,22719.8,1.42697,0.73991,0.98504,0.86632,0.72814,0.82375,0.47873,1.32516,0.63567,0.98895,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,22855.3,1.42802,0.73679,0.98106,0.8641,0.72595,0.82285,0.47825,1.32516,0.63201,0.98877,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,22990.6,1.42608,0.73476,0.98384,0.85056,0.72843,0.81931,0.47743,1.32556,0.63574,0.98963,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,23125,1.42749,0.73282,0.97888,0.86936,0.72861,0.82478,0.48097,1.32185,0.62877,0.98858,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,23265.7,1.42392,0.73364,0.98157,0.86472,0.73586,0.82663,0.48295,1.31845,0.62522,0.98831,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,23402.4,1.40751,0.72163,0.97992,0.86118,0.73402,0.82619,0.48286,1.31865,0.62431,0.98659,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,23539.2,1.41523,0.72595,0.97943,0.86696,0.73361,0.82889,0.48311,1.32045,0.62184,0.98737,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,23678.7,1.40882,0.71974,0.97453,0.86826,0.73586,0.82979,0.48342,1.31807,0.62036,0.98523,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,23922,1.41308,0.72074,0.97654,0.86348,0.73785,0.82941,0.48523,1.31947,0.62116,0.98627,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,24180.6,1.41073,0.724,0.97627,0.85848,0.73928,0.82951,0.48471,1.31619,0.62115,0.98544,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,24445.2,1.40432,0.71616,0.97381,0.86729,0.73755,0.83168,0.48569,1.3153,0.61853,0.98576,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,24828.2,1.40394,0.71348,0.97632,0.86174,0.73938,0.83165,0.48662,1.31591,0.61632,0.98549,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,25094,1.4037,0.71719,0.97254,0.86245,0.74071,0.83179,0.4869,1.31562,0.6158,0.98256,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,25349.9,1.40339,0.71335,0.97435,0.87103,0.74142,0.83489,0.48846,1.31424,0.61322,0.98415,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,25604.8,1.40061,0.71146,0.97152,0.86741,0.74142,0.83361,0.48805,1.31193,0.61284,0.98266,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,25863.2,1.40552,0.71465,0.97265,0.86987,0.74326,0.8349,0.48859,1.30949,0.61204,0.98139,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,26116.2,1.39727,0.70597,0.97232,0.86081,0.74243,0.83262,0.48821,1.31026,0.61224,0.98177,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,26381.9,1.39204,0.70212,0.96844,0.86493,0.74191,0.83411,0.48859,1.31183,0.61224,0.9823,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,26726.4,1.39458,0.70461,0.97343,0.86705,0.74108,0.83375,0.4891,1.31167,0.61111,0.98327,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,26974.7,1.38988,0.7009,0.96828,0.86894,0.74112,0.83485,0.48966,1.31048,0.60884,0.98225,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,27225.9,1.38336,0.69883,0.96817,0.86948,0.74097,0.83536,0.49041,1.30913,0.60824,0.98213,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,27474,1.37794,0.6941,0.96541,0.86564,0.7432,0.83474,0.49003,1.30951,0.60841,0.98214,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,27681.1,1.3903,0.70076,0.96661,0.86773,0.7447,0.83716,0.49121,1.30771,0.6068,0.98057,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,27924.2,1.3732,0.68921,0.96674,0.8644,0.74694,0.83629,0.49156,1.30811,0.60597,0.98135,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,28171.3,1.38309,0.69664,0.96658,0.8673,0.7466,0.83712,0.49216,1.30694,0.60509,0.98073,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,28422.1,1.37322,0.69121,0.96579,0.86738,0.7451,0.8368,0.49195,1.30697,0.60501,0.98128,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,28690.3,1.38061,0.69186,0.96413,0.87125,0.74472,0.83782,0.49274,1.30677,0.60377,0.98092,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,28937.8,1.37429,0.68784,0.96351,0.86855,0.74608,0.83767,0.49228,1.30636,0.60293,0.98062,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,29255.1,1.38237,0.69029,0.96364,0.86937,0.74555,0.83795,0.49322,1.30564,0.60184,0.98028,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,29439.6,1.37578,0.68621,0.96183,0.86571,0.74781,0.83839,0.49337,1.3052,0.60144,0.97986,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,30910.6,1.369,0.68398,0.96201,0.86934,0.74626,0.83924,0.49379,1.30471,0.60059,0.97909,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,31046.4,1.36531,0.67902,0.95931,0.87017,0.74608,0.83967,0.49381,1.30506,0.60045,0.97889,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,31188.7,1.3655,0.68072,0.96077,0.87034,0.74457,0.83858,0.4935,1.30624,0.60009,0.9793,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,31333.3,1.36526,0.67841,0.96029,0.87098,0.74517,0.83879,0.49367,1.3067,0.59978,0.97912,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,31469.6,1.35816,0.67398,0.95607,0.871,0.74608,0.83913,0.49358,1.30714,0.59925,0.97932,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,31606.3,1.3545,0.67151,0.95562,0.86584,0.74957,0.83974,0.49389,1.30689,0.59862,0.97932,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,31742.5,1.36396,0.67441,0.95686,0.86738,0.74867,0.83975,0.49421,1.30733,0.59892,0.97939,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,31885.9,1.3548,0.67223,0.95621,0.86719,0.74713,0.83927,0.4943,1.30684,0.59844,0.97908,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
