epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,68.7085,0.31051,0.35564,0.83285,1,0.96529,0.98406,0.92558,0.30829,0.36448,0.8435,0.0011882,0.0011882,0.0011882
43,70.2298,0.31547,0.35891,0.85026,1,0.96526,0.98602,0.93717,0.26224,0.33658,0.83438,0.0011684,0.0011684,0.0011684
44,71.7788,0.29825,0.3495,0.83484,0.99893,0.94915,0.97182,0.92185,0.2842,0.33349,0.84629,0.0011486,0.0011486,0.0011486
45,73.3859,0.28686,0.34559,0.83246,0.999,0.94915,0.97255,0.93986,0.27727,0.34156,0.8433,0.0011288,0.0011288,0.0011288
46,74.9048,0.28866,0.34394,0.82518,0.99896,0.94915,0.97246,0.93232,0.27199,0.33508,0.83461,0.001109,0.001109,0.001109
47,76.4182,0.27604,0.31522,0.80357,0.99892,0.94915,0.97523,0.94123,0.22698,0.32011,0.83119,0.0010892,0.0010892,0.0010892
48,77.9548,0.27096,0.34831,0.83344,0.99871,0.94915,0.97854,0.9477,0.24635,0.31433,0.84866,0.0010694,0.0010694,0.0010694
49,79.487,0.26982,0.32239,0.82365,0.99875,0.94915,0.97972,0.94705,0.26076,0.32605,0.84211,0.0010496,0.0010496,0.0010496
50,81.0172,0.25011,0.30043,0.81824,0.99863,0.94915,0.97242,0.93747,0.27659,0.33206,0.84492,0.0010298,0.0010298,0.0010298
51,82.5367,0.26217,0.30541,0.82826,0.99884,0.94915,0.95086,0.9336,0.24941,0.31613,0.83363,0.00101,0.00101,0.00101
52,84.1526,0.28393,0.31762,0.84791,0.99891,0.94915,0.94551,0.93385,0.21626,0.24315,0.83694,0.0009902,0.0009902,0.0009902
53,85.6548,0.26719,0.31609,0.82865,0.9989,0.94915,0.96578,0.92478,0.26572,0.27455,0.84825,0.0009704,0.0009704,0.0009704
54,87.1725,0.25123,0.28661,0.81899,0.99903,0.94915,0.9577,0.92935,0.2373,0.3082,0.83637,0.0009506,0.0009506,0.0009506
55,88.6999,0.27093,0.31045,0.8306,1,0.96532,0.97839,0.93595,0.25125,0.31964,0.84033,0.0009308,0.0009308,0.0009308
56,90.2375,0.24756,0.29488,0.82449,0.99893,0.94915,0.95785,0.93007,0.26748,0.33072,0.8406,0.000911,0.000911,0.000911
57,91.7429,0.25408,0.30137,0.82725,0.999,0.94915,0.96638,0.93697,0.25843,0.31976,0.85473,0.0008912,0.0008912,0.0008912
58,93.3157,0.26213,0.2958,0.84128,0.999,0.94915,0.96667,0.93535,0.25209,0.30057,0.8492,0.0008714,0.0008714,0.0008714
59,94.8151,0.25436,0.28173,0.81438,0.99899,0.94915,0.9725,0.9458,0.25918,0.28932,0.84298,0.0008516,0.0008516,0.0008516
60,96.3502,0.2454,0.28013,0.81967,0.99894,0.94915,0.97773,0.92928,0.29978,0.314,0.84971,0.0008318,0.0008318,0.0008318
61,97.855,0.24169,0.27263,0.8149,0.99898,0.94915,0.97957,0.94348,0.22951,0.28927,0.84128,0.000812,0.000812,0.000812
62,99.3661,0.26044,0.27631,0.82579,0.99892,0.94915,0.98165,0.9401,0.24246,0.29091,0.83972,0.0007922,0.0007922,0.0007922
63,100.885,0.24644,0.27833,0.83994,0.99898,0.94915,0.97278,0.9389,0.2678,0.29125,0.84472,0.0007724,0.0007724,0.0007724
64,102.481,0.24561,0.27868,0.82906,1,0.96589,0.98508,0.94573,0.23724,0.29031,0.84708,0.0007526,0.0007526,0.0007526
65,103.998,0.23593,0.27238,0.82879,1,0.96527,0.98474,0.94227,0.26957,0.2882,0.85786,0.0007328,0.0007328,0.0007328
66,105.515,0.23496,0.2653,0.81651,1,0.96527,0.98098,0.94119,0.23686,0.24567,0.83775,0.000713,0.000713,0.000713
67,107.348,0.25258,0.26784,0.82021,1,0.96533,0.97756,0.94078,0.23114,0.22256,0.83629,0.0006932,0.0006932,0.0006932
68,108.945,0.23831,0.2629,0.80514,1,0.96526,0.96773,0.94328,0.21058,0.22386,0.83328,0.0006734,0.0006734,0.0006734
